,,,Vanilla Location-1,,,,,,,,,,,Vanilla with memory based and memoryless heuristic,,,,,,,,Vanilla Location-2,,,,,,,,,,,Vanilla with memory based and memoryless heuristic,,,,,,,Vanilla Location-3,,,,,,,,,,,,,Inverse Heat,,,,,mSA Random Heuristics,,,,Vanilla with memory based and memoryless heuristic,,
,,,,,Mean,Std,Upper ,Lower,,new_Mean,Upper,Lower,,Mean,Upper,Lower,,,,,,,,Mean,Std,Upper ,Lower,,new_Mean,Upper,Lower,,Mean,Upper,Lower,,,,,,,,Mean,Std,Upper ,Lower,,new_Mean,Upper,Lower,,,new_Mean,Upper,Lower,,,Mean,Upper,Lower,,Mean,Upper,Lower
27,18,18,34,21,23.6,6.877499546,30.47749955,16.72250045,,26.1,31.83,20.37,,4.3,5.3311,3.2689,,,18,21,21,24,22,21.2,2.167948339,23.36794834,19.03205166,,22.4,28.499,16.301,,0,0,0,,,16,21,17,14,20,17.6,2.880972058,20.48097206,14.71902794,,18.55,23.55,13.55,,,11.3,18.584,4.0156,,,10.8,17.718,3.8824,,0,0,0
26,19,17,34,20,23.2,6.90651866,30.10651866,16.29348134,,25.85,31.481,20.219,,4.1,5.1712,3.0288,,,19,21,21,24,21,21.2,1.788854382,22.98885438,19.41114562,,22.75,28.758,16.742,,0,0,0,,,15,21,15,13,19,16.6,3.286335345,19.88633535,13.31366465,,18.15,23.344,12.956,,,11.35,18.842,3.8577,,,10.9,18.074,3.7262,,0,0,0
27,19,15,35,20,23.2,7.886697661,31.08669766,15.31330234,,25.85,31.791,19.909,,3.95,5.049,2.851,,,19,21,21,24,22,21.4,1.816590212,23.21659021,19.58340979,,23,28.795,17.205,,0,0,0,,,16,21,15,14,20,17.2,3.1144823,20.3144823,14.0855177,,18.2,23.105,13.295,,,11.05,18.487,3.6127,,,10.95,18.28,3.6196,,0,0,0
26,19,15,34,20,22.8,7.395944835,30.19594483,15.40405517,,25.8,31.573,20.027,,4.05,5.1001,2.9999,,,18,22,21,23,22,21.2,1.923538406,23.12353841,19.27646159,,22.9,28.82,16.98,,0,0,0,,,15,21,12,14,19,16.2,3.701351105,19.9013511,12.4986489,,17.85,23.223,12.477,,,10.9,18.205,3.5954,,,10.7,18.24,3.1599,,0,0,0
26,19,14,33,21,22.6,7.231873893,29.83187389,15.36812611,,25.85,31.948,19.752,,3.85,4.89,2.81,,,18,21,22,21,24,21.2,2.167948339,23.36794834,19.03205166,,22.85,28.974,16.726,,0,0,0,,,16,22,11,14,21,16.8,4.65832588,21.45832588,12.14167412,,18.25,23.609,12.891,,,10.45,17.591,3.3088,,,10.75,18.743,2.7574,,0,0,0
27,18,14,34,20,22.6,7.924645102,30.5246451,14.6753549,,26,32.052,19.948,,4.25,5.0364,3.4636,,,19,20,22,21,24,21.2,1.923538406,23.12353841,19.27646159,,23,28.885,17.115,,0,0,0,,,15,22,10,15,21,16.6,4.929503018,21.52950302,11.67049698,,17.95,23.146,12.754,,,10.35,17.708,2.9924,,,11.35,19.623,3.0765,,0,0,0
27,18,11,34,21,22.2,8.757853618,30.95785362,13.44214638,,26,32.456,19.544,,4.3,5.1645,3.4355,,,19,20,24,22,24,21.8,2.28035085,24.08035085,19.51964915,,23.2,29.081,17.319,,0,0,0,,,15,21,11,16,20,16.6,4.037325848,20.63732585,12.56267415,,18.05,23.06,13.04,,,10.4,17.956,2.8439,,,11.4,19.591,3.2089,,0,0,0
28,19,11,34,21,22.6,8.792041856,31.39204186,13.80795814,,25.95,32.254,19.646,,4.15,5.0251,3.2749,,,19,20,24,22,25,22,2.549509757,24.54950976,19.45049024,,23.1,29.264,16.936,,0,0,0,,,15,21,11,15,20,16.4,4.098780306,20.49878031,12.30121969,,18.3,23.701,12.899,,,10.4,17.942,2.8578,,,11.05,19.177,2.9229,,0,0,0
27,19,12,33,20,22.2,8.043631021,30.24363102,14.15636898,,26.35,32.627,20.073,,3.9,4.7522,3.0478,,,18,19,23,24,25,21.8,3.1144823,24.9144823,18.6855177,,23.05,28.957,17.143,,0,0,0,,,15,21,11,15,21,16.6,4.335896678,20.93589668,12.26410332,,17.95,23.196,12.704,,,10.25,17.746,2.7535,,,10.6,18.849,2.3512,,0,0,0
28,19,12,33,21,22.6,8.142481194,30.74248119,14.45751881,,26.35,32.618,20.082,,3.9,4.6881,3.1119,,,18,19,23,24,25,21.8,3.1144823,24.9144823,18.6855177,,23.2,29.505,16.895,,0,0,0,,,16,20,10,15,21,16.4,4.393176527,20.79317653,12.00682347,,17.85,23.537,12.163,,,10.15,17.508,2.7924,,,10.2,18.463,1.9372,,0,0,0
29,18,12,33,21,22.6,8.443932733,31.04393273,14.15606727,,26.5,33.065,19.935,,4,4.7947,3.2053,,,17,18,23,25,25,21.6,3.847076812,25.44707681,17.75292319,,22.95,30.017,15.883,,0,0,0,,,16,21,9,15,21,16.4,4.979959839,21.37995984,11.42004016,,18.05,24.158,11.942,,,9.8,16.883,2.717,,,10.15,18.625,1.6754,,0,0,0
30,17,11,34,20,22.4,9.449867724,31.84986772,12.95013228,,26.25,32.898,19.602,,4,5.026,2.974,,,17,18,23,25,24,21.4,3.646916506,25.04691651,17.75308349,,22.8,30.023,15.577,,0,0,0,,,15,20,9,13,20,15.4,4.722287581,20.12228758,10.67771242,,17.8,23.892,11.708,,,9.5,16.5,2.5,,,9.85,18.312,1.3879,,0,0,0
30,17,11,34,20,22.4,9.449867724,31.84986772,12.95013228,,26.25,32.93,19.57,,4.25,5.2165,3.2835,,,18,18,24,24,24,21.6,3.286335345,24.88633535,18.31366465,,23.9,31.418,16.382,,0,0,0,,,15,22,9,13,21,16,5.477225575,21.47722558,10.52277442,,17.55,23.854,11.246,,,10.45,18.994,1.9062,,,9.75,18.296,1.2037,,0,0,0
31,16,11,33,20,22.2,9.523654761,31.72365476,12.67634524,,26.2,32.901,19.499,,4.2,5.1515,3.2485,,,18,19,23,24,25,21.8,3.1144823,24.9144823,18.6855177,,22.65,29.678,15.622,,0,0,0,,,15,22,10,13,21,16.2,5.167204273,21.36720427,11.03279573,,18,24.274,11.726,,,10.45,18.763,2.1372,,,9.75,18.605,0.89518,,0,0,0
30,15,10,34,21,22,10.02496883,32.02496883,11.97503117,,25.95,32.767,19.133,,4.15,4.9627,3.3373,,,19,18,24,24,25,22,3.240370349,25.24037035,18.75962965,,22.7,29.816,15.584,,0,0,0,,,16,23,10,12,21,16.4,5.594640292,21.99464029,10.80535971,,18.1,24.515,11.685,,,10.2,18.386,2.014,,,10.05,18.896,1.2035,,0,0,0
30,15,11,34,20,22,9.772410143,31.77241014,12.22758986,,25.95,32.79,19.11,,4.05,4.7363,3.3637,,,21,18,23,25,25,22.4,2.966479395,25.36647939,19.43352061,,22.85,29.611,16.089,,0,0,0,,,15,23,9,12,20,15.8,5.718391382,21.51839138,10.08160862,,17.9,24.182,11.618,,,10.15,18.499,1.8006,,,10.1,19.276,0.92394,,0,0,0
